:MSR 	2	 # No. of measurement in file
:SYS BDS 0 # Beam Data Scanner System
#
# RFA300 ASCII Measurement Dump ( BDS format )
#
# Measurement number 	1
#
%VNR 1.0
%MOD 	RAT
%TYP 	SCN 
%SCN 	DIA 
%FLD 	ION 
%DAT 	09-08-2015 
%TIM 	14:54:12 
%FSZ 	400	400
%BMT 	PHO	   10.0
%SSD 	900
%BUP 	0
%BRD 	1000
%FSH 	-1
%ASC 	0
%WEG 	0
%GPO 	0
%CPO 	0
%MEA 	2
%PRD 	1000
%PTS 	1230
%STS 	  219.3	 -219.3	  100.0 # Start Scan values in mm ( X , Y , Z )
%EDS 	 -219.3	  219.3	  100.0 # End Scan values in mm ( X , Y , Z )
#
#	  X      Y      Z     Dose
#
= 	  219.3	 -219.3	  100.0	    4.8
= 	  218.7	 -218.7	  100.0	    4.8
= 	  218.2	 -218.3	  100.0	    4.9
= 	  218.0	 -218.0	  100.0	    4.9
= 	  217.5	 -217.5	  100.0	    5.0
= 	  217.3	 -217.3	  100.0	    5.0
= 	  216.9	 -216.9	  100.0	    5.1
= 	  216.6	 -216.6	  100.0	    5.1
= 	  216.3	 -216.3	  100.0	    5.2
= 	  215.8	 -215.9	  100.0	    5.2
= 	  215.5	 -215.6	  100.0	    5.2
= 	  215.1	 -215.2	  100.0	    5.3
= 	  214.7	 -214.8	  100.0	    5.3
= 	  214.4	 -214.5	  100.0	    5.4
= 	  214.1	 -214.1	  100.0	    5.5
= 	  213.7	 -213.8	  100.0	    5.5
= 	  213.4	 -213.4	  100.0	    5.6
= 	  213.0	 -213.0	  100.0	    5.6
= 	  212.7	 -212.7	  100.0	    5.7
= 	  212.3	 -212.3	  100.0	    5.7
= 	  211.9	 -211.9	  100.0	    5.8
= 	  211.6	 -211.6	  100.0	    5.8
= 	  211.2	 -211.3	  100.0	    5.9
= 	  210.9	 -210.9	  100.0	    6.0
= 	  210.5	 -210.6	  100.0	    6.0
= 	  210.2	 -210.2	  100.0	    6.1
= 	  209.8	 -209.8	  100.0	    6.1
= 	  209.5	 -209.5	  100.0	    6.2
= 	  209.1	 -209.1	  100.0	    6.3
= 	  208.8	 -208.8	  100.0	    6.3
= 	  208.4	 -208.4	  100.0	    6.4
= 	  208.0	 -208.1	  100.0	    6.4
= 	  207.7	 -207.7	  100.0	    6.5
= 	  207.4	 -207.4	  100.0	    6.6
= 	  207.0	 -207.1	  100.0	    6.6
= 	  206.6	 -206.6	  100.0	    6.7
