:MSR 	32	 # No. of measurement in file
:SYS BDS 0 # Beam Data Scanner System
#
# RFA300 ASCII Measurement Dump ( BDS format )
#
# Measurement number 	1
#
%VNR 1.0
%MOD 	RAT
%TYP 	SCN 
%SCN 	PRO 
%FLD 	SEM 
%DAT 	09-08-2015 
%TIM 	09:13:12 
%FSZ 	50	50
%BMT 	PHO	   10.0
%SSD 	900
%BUP 	0
%BRD 	1000
%FSH 	-1
%ASC 	0
%WEG 	0
%GPO 	0
%CPO 	0
%MEA 	2
%PRD 	150
%PTS 	182
%STS 	    0.0	  -82.6	   15.0 # Start Scan values in mm ( X , Y , Z )
%EDS 	    0.0	   82.6	   15.0 # End Scan values in mm ( X , Y , Z )
#
#	  X      Y      Z     Dose
#
= 	    0.0	  -82.6	   15.0	    0.6
= 	    0.0	  -82.4	   15.0	    0.6
= 	    0.0	  -81.1	   15.0	    0.6
= 	    0.0	  -81.0	   15.0	    0.6
= 	    0.0	  -80.1	   15.0	    0.6
= 	    0.0	  -79.9	   15.0	    0.6
= 	    0.0	  -79.0	   15.0	    0.7
= 	    0.0	  -78.2	   15.0	    0.7
= 	    0.0	  -78.1	   15.0	    0.7
= 	    0.0	  -77.1	   15.0	    0.7
= 	    0.0	  -76.1	   15.0	    0.7
= 	    0.0	  -75.1	   15.0	    0.7
= 	    0.0	  -74.0	   15.0	    0.7
= 	    0.0	  -73.0	   15.0	    0.7
= 	    0.0	  -72.1	   15.0	    0.7
= 	    0.0	  -71.0	   15.0	    0.8
= 	    0.0	  -70.1	   15.0	    0.8
= 	    0.0	  -70.0	   15.0	    0.8
= 	    0.0	  -69.0	   15.0	    0.8
= 	    0.0	  -68.0	   15.0	    0.8
= 	    0.0	  -67.0	   15.0	    0.8
= 	    0.0	  -66.0	   15.0	    0.8
= 	    0.0	  -64.9	   15.0	    0.9
= 	    0.0	  -64.0	   15.0	    0.9
= 	    0.0	  -63.1	   15.0	    0.9
= 	    0.0	  -63.0	   15.0	    0.9
= 	    0.0	  -62.0	   15.0	    0.9
= 	    0.0	  -61.0	   15.0	    0.9
= 	    0.0	  -59.9	   15.0	    1.0
= 	    0.0	  -59.0	   15.0	    1.0
= 	    0.0	  -58.9	   15.0	    1.0
= 	    0.0	  -57.8	   15.0	    1.0
= 	    0.0	  -56.9	   15.0	    1.0
= 	    0.0	  -55.9	   15.0	    1.1
= 	    0.0	  -54.9	   15.0	    1.1
= 	    0.0	  -53.9	   15.0	    1.2
= 	    0.0	  -52.9	   15.0	    1.2
= 	    0.0	  -51.9	   15.0	    1.2
= 	    0.0	  -50.8	   15.0	    1.3
= 	    0.0	  -49.8	   15.0	    1.3
= 	    0.0	  -48.9	   15.0	    1.4
= 	    0.0	  -47.8	   15.0	    1.4
= 	    0.0	  -46.8	   15.0	    1.5
= 	    0.0	  -45.8	   15.0	    1.6
= 	    0.0	  -44.7	   15.0	    1.6
= 	    0.0	  -43.8	   15.0	    1.7
= 	    0.0	  -42.8	   15.0	    1.8
= 	    0.0	  -41.8	   15.0	    1.9
= 	    0.0	  -40.8	   15.0	    1.9
= 	    0.0	  -39.7	   15.0	    2.0
= 	    0.0	  -38.7	   15.0	    2.1
= 	    0.0	  -37.7	   15.0	    2.2
= 	    0.0	  -36.8	   15.0	    2.3
= 	    0.0	  -35.7	   15.0	    2.4
= 	    0.0	  -34.7	   15.0	    2.6
= 	    0.0	  -33.7	   15.0	    2.7
= 	    0.0	  -32.7	   15.0	    2.9
= 	    0.0	  -31.7	   15.0	    3.1
= 	    0.0	  -30.7	   15.0	    3.3
= 	    0.0	  -29.7	   15.0	    3.7
= 	    0.0	  -28.7	   15.0	    4.2
= 	    0.0	  -27.7	   15.0	    4.8
= 	    0.0	  -26.7	   15.0	    6.0
= 	    0.0	  -25.7	   15.0	    8.0
= 	    0.0	  -24.6	   15.0	   13.8
= 	    0.0	  -23.6	   15.0	   24.8
= 	    0.0	  -22.6	   15.0	   42.1
= 	    0.0	  -21.7	   15.0	   63.6
= 	    0.0	  -20.7	   15.0	   78.8
= 	    0.0	  -20.6	   15.0	   80.3
= 	    0.0	  -19.6	   15.0	   89.5
= 	    0.0	  -18.6	   15.0	   93.6
= 	    0.0	  -17.6	   15.0	   95.5
= 	    0.0	  -16.6	   15.0	   96.3
= 	    0.0	  -15.6	   15.0	   96.6
= 	    0.0	  -14.6	   15.0	   97.3
= 	    0.0	  -13.6	   15.0	   97.3
= 	    0.0	  -12.6	   15.0	   97.2
